from,to,weight
Joffrey,Barristan,5
Robb,Benjen,5
Benjen,Yoren,5
Bran,Rodrik Cassel,5
Bronn,Lysa,5
Bronn,Shagga,5
Bronn,Tywin,5
Catelyn,Mord,5
Daenerys,Robert,5
Doreah,Irri,5
Drogo,Rakharo,5
Gared,Royce,5
Gendry,Tobho Mott,5
Littlefinger,Hound,5
Hound,Mountain,5
Jaime,Kevan,5
Littlefinger,Jaime,5
Janos Slynt,Varys,5
Joffrey,Septa Mordane,5
Jon,Othell Yarwyck,5
Jon,Othor,5
Littlefinger,Jon Arryn,5
Lysa,Jon Arryn,5
Robb,Jonos Bracken,5
Jorah,Qotho,5
Mord,Lysa,5
Ned,Maester Luwin,5
Rodrik Cassel,Marillion,5
Tyrion,Marillion,5
Tyrion,Masha Heddle,5
Ned,Mountain,5
Sansa,Renly,5
Robb,Robert,5
Robb,Tywin,5
Robb,Walder,5
Robert,Stannis,5
Aerys,Rickard Stark,4
Alliser Thorne,Rast,4
Arya,Ilyn Payne,4
Baelor,Yoren,4
Jaime,Barristan,4
Littlefinger,Barristan,4
Barristan,Pycelle,4
Cersei,Bran,4
Catelyn,Jon Arryn,4
Catelyn,Marillion,4
Catelyn,Tywin,4
Cersei,Hound,4
Daenerys,Varys,4
Jon,Dareon,4
Dareon,Sam,4
Gared,Will,4
Jeor,Grenn,4
Loras,Hound,4
Littlefinger,Hugh Of The Vale,4
Joffrey,Ilyn Payne,4
Ned,Ilyn Payne,4
Sansa,Ilyn Payne,4
Ilyn Payne,Yoren,4
Jaime,Ros,4
Jaime,Theon,4
Jory Cassel,Robert,4
Ned,Lancel,4
Littlefinger,Septa Mordane,4
Littlefinger,Tywin,4
Loras,Mountain,4
Ned,Loras,4
Sansa,Loras,4
Ned,Lyanna,4
Mirri Maz Duur,Rakharo,4
Robert,Mountain,4
Sansa,Mountain,4
Sansa,Mycah,4
Ned,Rickard Stark,4
Robb,Old Nan,4
Royce,Will,4
Ryger Rivers,Walder,4
Sansa,Yoren,4
Shae,Tywin,4
Stevron Frey,Walder,4
Waymar Royce,Will,4
Kevan,Addam Marbrand,3
Addam Marbrand,Leo Lefford,3
Jaime,Aerys,3
Aerys,Rhaegar,3
Alliser Thorne,Othell Yarwyck,3
Arya,Jaime,3
Arya,Pycelle,3
Catelyn,Assassin,3
Baelor,Ilyn Payne,3
Theon,Balon,3
Barristan,Lancel,3
Renly,Barristan,3
Ned,Beric,3
Bran,Will,3
Ned,Brandon Stark,3
Bronn,Mord,3
Bronn,Robin Arryn,3
Bronn,Ser Vardis,3
Catelyn,Hoster,3
Catelyn,Joffrey,3
Catelyn,Masha Heddle,3
Catelyn,Ser Vardis,3
Catelyn,Yoren,3
Cersei,Ilyn Payne,3
Jon,Cersei,3
Cersei,Jon Arryn,3
Cersei,Lancel,3
Cersei,Renly,3
Cersei,Tywin,3
Drogo,Cohollo,3
Ned,Daenerys,3
Doreah,Drogo,3
Doreah,Wine Merchant,3
Gendry,Hot Pie,3
Jaime,Greatjon Umber,3
Greatjon Umber,Tywin,3
Robb,Hodor,3
Theon,Hodor,3
Tyrion,Hodor,3
Hoster,Walder,3
Hound,Ilyn Payne,3
Irri,Jhiqui,3
Irri,Viserys,3
Renly,Janos Slynt,3
Ned,Jeor,3
Jeor,Robert,3
Joffrey,Renly,3
Joffrey,Tywin,3
Joffrey,Yoren,3
Jon,Robert,3
Jon,Will,3
Pycelle,Jon Arryn,3
Jon Arryn,Robin Arryn,3
Jorah,Rhaego,3
Littlefinger,Stannis,3
Loras,Robert,3
Robert,Lyanna,3
Ned,Meryn Trant,3
Mord,Robin Arryn,3
Mord,Ser Vardis,3
Ned,Mycah,3
Tyrion,Myrcella,3
Ned,Pyp,3
Ned,Will,3
Osha,Rickon,3
Qotho,Rakharo,3
Rakharo,Viserys,3
Rakharo,Wine Merchant,3
Tyrion,Rast,3
Robb,Renly,3
Robb,Rickon,3
Robin Arryn,Ser Vardis,3
Theon,Walder,3
Varys,Yoren,3
Addam Marbrand,Tywin,2
Aerys,Aegon,2
Maester Aemon,Aegon,2
Barristan,Aerys,2
Catelyn,Aerys,2
Jorah,Aerys,2
Aerys,Maester Aemon,2
Renly,Aerys,2
Sansa,Aerys,2
Aerys,Septa Mordane,2
Alliser Thorne,Maester Aemon,2
Arya,Illyrio,2
Arya,Lommy Greenhands,2
Arya,Tyrion,2
Bran,Assassin,2
Robb,Assassin,2
Cersei,Baelor,2
Hound,Baelor,2
Joffrey,Baelor,2
Pycelle,Baelor,2
Sansa,Baelor,2
Tyrion,Balon,2
Catelyn,Benjen,2
Cersei,Benjen,2
Jeor,Benjen,2
Benjen,Robert,2
Robert,Beric,2
Dareon,Borcas,2
Pyp,Borcas,2
Dareon,Bowen Marsh,2
Pyp,Bowen Marsh,2
Bran,Brandon Stark,2
Bran,Hound,2
Catelyn,Brandon Stark,2
Jon,Brandon Stark,2
Brandon Stark,Rickard Stark,2
Bronn,Kevan,2
Bronn,Marillion,2
Daenerys,Catelyn,2
Catelyn,Hound,2
Catelyn,Stevron Frey,2
Cersei,Jeor,2
Cersei,Lyanna,2
Cersei,Meryn Trant,2
Cersei,Ros,2
Cersei,Stannis,2
Cersei,Yoren,2
Daenerys,Jhiqui,2
Daenerys,Sansa,2
Grenn,Dareon,2
Jeor,Dareon,2
Dareon,Luke,2
Dareon,Maester Aemon,2
Dareon,Rast,2
Doreah,Irogenia,2
Doreah,Jhiqui,2
Jorah,Doreah,2
Drogo,Irri,2
Drogo,Robert,2
Greatjon Umber,Galbart Glover,2
Jonos Bracken,Galbart Glover,2
Robb,Galbart Glover,2
Gendry,Varys,2
Gendry,Yoren,2
Ned,Greatjon Umber,2
Greatjon Umber,Renly,2
Greatjon Umber,Rickard Karstark,2
Greatjon Umber,Stannis,2
Greatjon Umber,Walder,2
Ned,High Septon,2
Osha,Hodor,2
Jaime,Hound,2
Robb,Hound,2
Hound,Yoren,2
Jon Arryn,Hugh Of The Vale,2
Hugh Of The Vale,Mountain,2
Sansa,Hugh Of The Vale,2
Jorah,Illyrio,2
Meryn Trant,Ilyn Payne,2
Ilyn Payne,Varys,2
Jaime,Jon Arryn,2
Jaime,Rickard Stark,2
Sansa,Jaime,2
Jaime,Tysha,2
Littlefinger,Janos Slynt,2
Pycelle,Janos Slynt,2
Jeor,Jaremy Rykker,2
Othell Yarwyck,Jaremy Rykker,2
Pyp,Jaremy Rykker,2
Joffrey,Jeor,2
Tyrion,Joanna,2
Jon,Joffrey,2
Joffrey,Tommen,2
Joffrey,Will,2
Jon,Rodrik Cassel,2
Jon,Ros,2
Jon Arryn,Varys,2
Jorah,Little Bird,2
Ned,Jorah,2
Jorah,Varys,2
Jory Cassel,Mhaegen,2
Jory Cassel,Theon,2
Joyeuse,Walder,2
Kevan,Leo Lefford,2
Shagga,Kevan,2
Renly,Lancel,2
Tyrion,Leo Lefford,2
Littlefinger,Loras,2
Littlefinger,Mhaegen,2
Littlefinger,Yoren,2
Loras,Mace,2
Pyp,Luke,2
Maester Luwin,Robert,2
Maester Luwin,Rodrik Cassel,2
Sansa,Maester Luwin,2
Meryn Trant,Marillion,2
Marillion,Yoren,2
Melessa,Sam,2
Mord,Rodrik Cassel,2
Ned,Roose Bolton,2
Ned,Ros,2
Ned,Steffon,2
Ned,Varly,2
Theon,Old Nan,2
Pyp,Othell Yarwyck,2
Pyp,Othor,2
Othor,Sam,2
Pycelle,Tywin,2
Pycelle,Yoren,2
Randyll,Sam,2
Renly,Tomard,2
Robert,Rhaegar,2
Rhaego,Viserys,2
Robb,Rickard Karstark,2
Theon,Rickard Karstark,2
Robb,Stannis,2
Robb,Varys,2
Ros,Robert,2
Robert,Tommen,2
Rodrik Cassel,Tywin,2
Sansa,Stannis,2
Stannis,Tomard,2
Theon,Will,2
Tyrion,Tysha,2
Tyrion,Varys,2
